Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	dN with Chicken	dS with Chicken
ENSTGUG00000013637	ENSTGUG00000013637.2	ENSTGUT00000014203	ENSTGUT00000014203.2	0.0636	0.3871
ENSTGUG00000013635	ENSTGUG00000013635.2	ENSTGUT00000033741	ENSTGUT00000033741.1	0.1741	0.5884
ENSTGUG00000013635	ENSTGUG00000013635.2	ENSTGUT00000014202	ENSTGUT00000014202.2	0.1741	0.5884
ENSTGUG00000013635	ENSTGUG00000013635.2	ENSTGUT00000014201	ENSTGUT00000014201.2	0.1741	0.5884
ENSTGUG00000013635	ENSTGUG00000013635.2	ENSTGUT00000039948	ENSTGUT00000039948.1	0.1741	0.5884
ENSTGUG00000020928	ENSTGUG00000020928.1	ENSTGUT00000044306	ENSTGUT00000044306.1	0.0967	0.6162
ENSTGUG00000013634	ENSTGUG00000013634.2	ENSTGUT00000014200	ENSTGUT00000014200.2		
ENSTGUG00000013634	ENSTGUG00000013634.2	ENSTGUT00000014200	ENSTGUT00000014200.2		
ENSTGUG00000013634	ENSTGUG00000013634.2	ENSTGUT00000019501	ENSTGUT00000019501.1		
ENSTGUG00000013634	ENSTGUG00000013634.2	ENSTGUT00000019501	ENSTGUT00000019501.1		
ENSTGUG00000013634	ENSTGUG00000013634.2	ENSTGUT00000037071	ENSTGUT00000037071.1		
ENSTGUG00000013634	ENSTGUG00000013634.2	ENSTGUT00000037071	ENSTGUT00000037071.1		
ENSTGUG00000027178	ENSTGUG00000027178.1	ENSTGUT00000046137	ENSTGUT00000046137.1		
ENSTGUG00000013633	ENSTGUG00000013633.2	ENSTGUT00000014199	ENSTGUT00000014199.2	0.0281	0.3532
ENSTGUG00000013632	ENSTGUG00000013632.2	ENSTGUT00000030757	ENSTGUT00000030757.1	0.0382	0.3575
ENSTGUG00000013632	ENSTGUG00000013632.2	ENSTGUT00000026577	ENSTGUT00000026577.1	0.0382	0.3575
ENSTGUG00000013632	ENSTGUG00000013632.2	ENSTGUT00000029685	ENSTGUT00000029685.1	0.0382	0.3575
ENSTGUG00000013632	ENSTGUG00000013632.2	ENSTGUT00000014198	ENSTGUT00000014198.2	0.0382	0.3575
ENSTGUG00000013631	ENSTGUG00000013631.2	ENSTGUT00000014197	ENSTGUT00000014197.2	0.0198	0.2598
ENSTGUG00000013630	ENSTGUG00000013630.2	ENSTGUT00000014196	ENSTGUT00000014196.2		
ENSTGUG00000013629	ENSTGUG00000013629.2	ENSTGUT00000022981	ENSTGUT00000022981.1	0.0287	0.4174
ENSTGUG00000013629	ENSTGUG00000013629.2	ENSTGUT00000014195	ENSTGUT00000014195.2	0.0287	0.4174
ENSTGUG00000013628	ENSTGUG00000013628.2	ENSTGUT00000014194	ENSTGUT00000014194.2	0.0336	0.4205
ENSTGUG00000013627	ENSTGUG00000013627.2	ENSTGUT00000025358	ENSTGUT00000025358.1	0.0572	0.3849
ENSTGUG00000013627	ENSTGUG00000013627.2	ENSTGUT00000041351	ENSTGUT00000041351.1	0.0572	0.3849
ENSTGUG00000013627	ENSTGUG00000013627.2	ENSTGUT00000030640	ENSTGUT00000030640.1	0.0572	0.3849
ENSTGUG00000013627	ENSTGUG00000013627.2	ENSTGUT00000036069	ENSTGUT00000036069.1	0.0572	0.3849
ENSTGUG00000013627	ENSTGUG00000013627.2	ENSTGUT00000021605	ENSTGUT00000021605.1	0.0572	0.3849
