Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	dN with Rat	dS with Rat
ENSMUSG00000064372	ENSMUSG00000064372.1	ENSMUST00000082423	ENSMUST00000082423.1		
ENSMUSG00000064371	ENSMUSG00000064371.1	ENSMUST00000082422	ENSMUST00000082422.1		
ENSMUSG00000064370	ENSMUSG00000064370.1	ENSMUST00000082421	ENSMUST00000082421.1		
ENSMUSG00000064369	ENSMUSG00000064369.1	ENSMUST00000082420	ENSMUST00000082420.1		
ENSMUSG00000064368	ENSMUSG00000064368.1	ENSMUST00000082419	ENSMUST00000082419.1		
ENSMUSG00000064367	ENSMUSG00000064367.1	ENSMUST00000082418	ENSMUST00000082418.1		
ENSMUSG00000064366	ENSMUSG00000064366.1	ENSMUST00000082417	ENSMUST00000082417.1		
ENSMUSG00000064365	ENSMUSG00000064365.1	ENSMUST00000082416	ENSMUST00000082416.1		
ENSMUSG00000064364	ENSMUSG00000064364.1	ENSMUST00000082415	ENSMUST00000082415.1		
ENSMUSG00000064363	ENSMUSG00000064363.1	ENSMUST00000082414	ENSMUST00000082414.1		
ENSMUSG00000065947	ENSMUSG00000065947.3	ENSMUST00000084013	ENSMUST00000084013.1		
ENSMUSG00000065947	ENSMUSG00000065947.3	ENSMUST00000084013	ENSMUST00000084013.1		
ENSMUSG00000064361	ENSMUSG00000064361.1	ENSMUST00000082412	ENSMUST00000082412.1		
ENSMUSG00000064360	ENSMUSG00000064360.1	ENSMUST00000082411	ENSMUST00000082411.1		
ENSMUSG00000064359	ENSMUSG00000064359.1	ENSMUST00000082410	ENSMUST00000082410.1		
ENSMUSG00000064358	ENSMUSG00000064358.1	ENSMUST00000082409	ENSMUST00000082409.1		
ENSMUSG00000064357	ENSMUSG00000064357.1	ENSMUST00000082408	ENSMUST00000082408.1		
ENSMUSG00000064356	ENSMUSG00000064356.3	ENSMUST00000082407	ENSMUST00000082407.1		
ENSMUSG00000064355	ENSMUSG00000064355.1	ENSMUST00000082406	ENSMUST00000082406.1		
ENSMUSG00000064354	ENSMUSG00000064354.1	ENSMUST00000082405	ENSMUST00000082405.1		
ENSMUSG00000064353	ENSMUSG00000064353.1	ENSMUST00000082404	ENSMUST00000082404.1		
ENSMUSG00000064352	ENSMUSG00000064352.1	ENSMUST00000082403	ENSMUST00000082403.1		
ENSMUSG00000064351	ENSMUSG00000064351.1	ENSMUST00000082402	ENSMUST00000082402.1		
ENSMUSG00000064350	ENSMUSG00000064350.1	ENSMUST00000082401	ENSMUST00000082401.1		
ENSMUSG00000064349	ENSMUSG00000064349.1	ENSMUST00000082400	ENSMUST00000082400.1		
ENSMUSG00000064348	ENSMUSG00000064348.1	ENSMUST00000082399	ENSMUST00000082399.1		
ENSMUSG00000064347	ENSMUSG00000064347.1	ENSMUST00000082398	ENSMUST00000082398.1		
ENSMUSG00000064346	ENSMUSG00000064346.1	ENSMUST00000082397	ENSMUST00000082397.1		
ENSMUSG00000064345	ENSMUSG00000064345.1	ENSMUST00000082396	ENSMUST00000082396.1		
ENSMUSG00000064344	ENSMUSG00000064344.1	ENSMUST00000082395	ENSMUST00000082395.1		
ENSMUSG00000064343	ENSMUSG00000064343.1	ENSMUST00000082394	ENSMUST00000082394.1		
ENSMUSG00000064342	ENSMUSG00000064342.1	ENSMUST00000082393	ENSMUST00000082393.1		
ENSMUSG00000064341	ENSMUSG00000064341.1	ENSMUST00000082392	ENSMUST00000082392.1		
ENSMUSG00000064340	ENSMUSG00000064340.1	ENSMUST00000082391	ENSMUST00000082391.1		
ENSMUSG00000064339	ENSMUSG00000064339.1	ENSMUST00000082390	ENSMUST00000082390.1		
ENSMUSG00000064338	ENSMUSG00000064338.1	ENSMUST00000082389	ENSMUST00000082389.1		
ENSMUSG00000064337	ENSMUSG00000064337.1	ENSMUST00000082388	ENSMUST00000082388.1		
ENSMUSG00000064336	ENSMUSG00000064336.1	ENSMUST00000082387	ENSMUST00000082387.1		
ENSMUSG00000108753	ENSMUSG00000108753.1	ENSMUST00000207013	ENSMUST00000207013.1		
ENSMUSG00000108486	ENSMUSG00000108486.1	ENSMUST00000205869	ENSMUST00000205869.1		
ENSMUSG00000033970	ENSMUSG00000033970.15	ENSMUST00000038131	ENSMUST00000038131.9	0.0081	0.3328
ENSMUSG00000033970	ENSMUSG00000033970.15	ENSMUST00000127366	ENSMUST00000127366.1	0.0081	0.3328
ENSMUSG00000033970	ENSMUSG00000033970.15	ENSMUST00000156667	ENSMUST00000156667.1	0.0081	0.3328
ENSMUSG00000033970	ENSMUSG00000033970.15	ENSMUST00000145106	ENSMUST00000145106.7	0.0081	0.3328
ENSMUSG00000033970	ENSMUSG00000033970.15	ENSMUST00000140067	ENSMUST00000140067.7	0.0081	0.3328
ENSMUSG00000033970	ENSMUSG00000033970.15	ENSMUST00000132709	ENSMUST00000132709.1	0.0081	0.3328
ENSMUSG00000033970	ENSMUSG00000033970.15	ENSMUST00000136752	ENSMUST00000136752.1	0.0081	0.3328
ENSMUSG00000000632	ENSMUSG00000000632.13	ENSMUST00000093995	ENSMUST00000093995.9	0.0154	0.1757
ENSMUSG00000000632	ENSMUSG00000000632.13	ENSMUST00000142542	ENSMUST00000142542.7	0.0154	0.1757
ENSMUSG00000000632	ENSMUSG00000000632.13	ENSMUST00000138749	ENSMUST00000138749.7	0.0154	0.1757
ENSMUSG00000000632	ENSMUSG00000000632.13	ENSMUST00000000646	ENSMUST00000000646.13	0.0154	0.1757
ENSMUSG00000000632	ENSMUSG00000000632.13	ENSMUST00000155087	ENSMUST00000155087.7	0.0154	0.1757
ENSMUSG00000000632	ENSMUSG00000000632.13	ENSMUST00000138346	ENSMUST00000138346.1	0.0154	0.1757
ENSMUSG00000000632	ENSMUSG00000000632.13	ENSMUST00000151982	ENSMUST00000151982.7	0.0154	0.1757
ENSMUSG00000000632	ENSMUSG00000000632.13	ENSMUST00000140630	ENSMUST00000140630.1	0.0154	0.1757
ENSMUSG00000000632	ENSMUSG00000000632.13	ENSMUST00000126866	ENSMUST00000126866.1	0.0154	0.1757
ENSMUSG00000055730	ENSMUSG00000055730.16	ENSMUST00000034346	ENSMUST00000034346.14	0.0674	0.1712
ENSMUSG00000055730	ENSMUSG00000055730.16	ENSMUST00000034346	ENSMUST00000034346.14	0.0665	0.1896
ENSMUSG00000055730	ENSMUSG00000055730.16	ENSMUST00000034346	ENSMUST00000034346.14	0.1276	0.2448
ENSMUSG00000055730	ENSMUSG00000055730.16	ENSMUST00000161824	ENSMUST00000161824.1	0.0674	0.1712
ENSMUSG00000055730	ENSMUSG00000055730.16	ENSMUST00000161824	ENSMUST00000161824.1	0.0665	0.1896
ENSMUSG00000055730	ENSMUSG00000055730.16	ENSMUST00000161824	ENSMUST00000161824.1	0.1276	0.2448
ENSMUSG00000055730	ENSMUSG00000055730.16	ENSMUST00000159303	ENSMUST00000159303.2	0.0674	0.1712
ENSMUSG00000055730	ENSMUSG00000055730.16	ENSMUST00000159303	ENSMUST00000159303.2	0.0665	0.1896
ENSMUSG00000055730	ENSMUSG00000055730.16	ENSMUST00000159303	ENSMUST00000159303.2	0.1276	0.2448
ENSMUSG00000055730	ENSMUSG00000055730.16	ENSMUST00000164182	ENSMUST00000164182.2	0.0674	0.1712
ENSMUSG00000055730	ENSMUSG00000055730.16	ENSMUST00000164182	ENSMUST00000164182.2	0.0665	0.1896
ENSMUSG00000055730	ENSMUSG00000055730.16	ENSMUST00000164182	ENSMUST00000164182.2	0.1276	0.2448
ENSMUSG00000036097	ENSMUSG00000036097.8	ENSMUST00000096053	ENSMUST00000096053.4	0.0245	0.1205
ENSMUSG00000036097	ENSMUSG00000036097.8	ENSMUST00000236895	ENSMUST00000236895.1	0.0245	0.1205
ENSMUSG00000036097	ENSMUSG00000036097.8	ENSMUST00000236356	ENSMUST00000236356.1	0.0245	0.1205
ENSMUSG00000036097	ENSMUSG00000036097.8	ENSMUST00000236057	ENSMUST00000236057.1	0.0245	0.1205
ENSMUSG00000036097	ENSMUSG00000036097.8	ENSMUST00000237505	ENSMUST00000237505.1	0.0245	0.1205
ENSMUSG00000055447	ENSMUSG00000055447.19	ENSMUST00000229640	ENSMUST00000229640.1	0.069	0.2036
ENSMUSG00000055447	ENSMUSG00000055447.19	ENSMUST00000114496	ENSMUST00000114496.2	0.069	0.2036
ENSMUSG00000055447	ENSMUSG00000055447.19	ENSMUST00000229101	ENSMUST00000229101.1	0.069	0.2036
ENSMUSG00000055447	ENSMUSG00000055447.19	ENSMUST00000230836	ENSMUST00000230836.1	0.069	0.2036
ENSMUSG00000055447	ENSMUSG00000055447.19	ENSMUST00000229206	ENSMUST00000229206.1	0.069	0.2036
ENSMUSG00000055447	ENSMUSG00000055447.19	ENSMUST00000231187	ENSMUST00000231187.1	0.069	0.2036
ENSMUSG00000055447	ENSMUSG00000055447.19	ENSMUST00000084838	ENSMUST00000084838.13	0.069	0.2036
ENSMUSG00000055447	ENSMUSG00000055447.19	ENSMUST00000230281	ENSMUST00000230281.1	0.069	0.2036
ENSMUSG00000055447	ENSMUSG00000055447.19	ENSMUST00000230641	ENSMUST00000230641.1	0.069	0.2036
ENSMUSG00000055447	ENSMUSG00000055447.19	ENSMUST00000229104	ENSMUST00000229104.1	0.069	0.2036
ENSMUSG00000027887	ENSMUSG00000027887.11	ENSMUST00000141387	ENSMUST00000141387.3	0.0115	0.0963
ENSMUSG00000027887	ENSMUSG00000027887.11	ENSMUST00000156371	ENSMUST00000156371.2	0.0115	0.0963
ENSMUSG00000087445	ENSMUSG00000087445.1	ENSMUST00000155674	ENSMUST00000155674.1		
ENSMUSG00000017670	ENSMUSG00000017670.16	ENSMUST00000103091	ENSMUST00000103091.8	0.0062	0.2195
ENSMUSG00000017670	ENSMUSG00000017670.16	ENSMUST00000148643	ENSMUST00000148643.7	0.0062	0.2195
ENSMUSG00000017670	ENSMUSG00000017670.16	ENSMUST00000074046	ENSMUST00000074046.12	0.0062	0.2195
ENSMUSG00000017670	ENSMUSG00000017670.16	ENSMUST00000094329	ENSMUST00000094329.10	0.0062	0.2195
ENSMUSG00000017670	ENSMUSG00000017670.16	ENSMUST00000103088	ENSMUST00000103088.9	0.0062	0.2195
ENSMUSG00000017670	ENSMUSG00000017670.16	ENSMUST00000071699	ENSMUST00000071699.10	0.0062	0.2195
ENSMUSG00000017670	ENSMUSG00000017670.16	ENSMUST00000127496	ENSMUST00000127496.7	0.0062	0.2195
ENSMUSG00000017670	ENSMUSG00000017670.16	ENSMUST00000137188	ENSMUST00000137188.1	0.0062	0.2195
ENSMUSG00000017670	ENSMUSG00000017670.16	ENSMUST00000149844	ENSMUST00000149844.7	0.0062	0.2195
ENSMUSG00000017670	ENSMUSG00000017670.16	ENSMUST00000126318	ENSMUST00000126318.7	0.0062	0.2195
ENSMUSG00000017670	ENSMUSG00000017670.16	ENSMUST00000133205	ENSMUST00000133205.7	0.0062	0.2195
ENSMUSG00000017670	ENSMUSG00000017670.16	ENSMUST00000128690	ENSMUST00000128690.1	0.0062	0.2195
ENSMUSG00000006356	ENSMUSG00000006356.10	ENSMUST00000084882	ENSMUST00000084882.8	0.0021	0.2315
ENSMUSG00000006356	ENSMUSG00000006356.10	ENSMUST00000200380	ENSMUST00000200380.4	0.0021	0.2315
ENSMUSG00000006356	ENSMUSG00000006356.10	ENSMUST00000196015	ENSMUST00000196015.4	0.0021	0.2315
ENSMUSG00000006356	ENSMUSG00000006356.10	ENSMUST00000197396	ENSMUST00000197396.4	0.0021	0.2315
ENSMUSG00000006356	ENSMUSG00000006356.10	ENSMUST00000199976	ENSMUST00000199976.1	0.0021	0.2315
ENSMUSG00000006356	ENSMUSG00000006356.10	ENSMUST00000200177	ENSMUST00000200177.1	0.0021	0.2315
ENSMUSG00000112974	ENSMUSG00000112974.1	ENSMUST00000222789	ENSMUST00000222789.1		
ENSMUSG00000055491	ENSMUSG00000055491.14	ENSMUST00000134015	ENSMUST00000134015.1	0.0621	0.1732
ENSMUSG00000055491	ENSMUSG00000055491.14	ENSMUST00000111899	ENSMUST00000111899.7	0.0621	0.1732
ENSMUSG00000055491	ENSMUSG00000055491.14	ENSMUST00000099392	ENSMUST00000099392.9	0.0621	0.1732
ENSMUSG00000055491	ENSMUSG00000055491.14	ENSMUST00000062322	ENSMUST00000062322.10	0.0621	0.1732
ENSMUSG00000055491	ENSMUSG00000055491.14	ENSMUST00000128386	ENSMUST00000128386.1	0.0621	0.1732
ENSMUSG00000055491	ENSMUSG00000055491.14	ENSMUST00000135327	ENSMUST00000135327.7	0.0621	0.1732
ENSMUSG00000055491	ENSMUSG00000055491.14	ENSMUST00000150158	ENSMUST00000150158.7	0.0621	0.1732
ENSMUSG00000055491	ENSMUSG00000055491.14	ENSMUST00000126127	ENSMUST00000126127.7	0.0621	0.1732
ENSMUSG00000055491	ENSMUSG00000055491.14	ENSMUST00000147640	ENSMUST00000147640.1	0.0621	0.1732
ENSMUSG00000055491	ENSMUSG00000055491.14	ENSMUST00000133101	ENSMUST00000133101.1	0.0621	0.1732
ENSMUSG00000055491	ENSMUSG00000055491.14	ENSMUST00000146882	ENSMUST00000146882.1	0.0621	0.1732
ENSMUSG00000034083	ENSMUSG00000034083.16	ENSMUST00000138868	ENSMUST00000138868.7	0.0342	0.152
ENSMUSG00000034083	ENSMUSG00000034083.16	ENSMUST00000037783	ENSMUST00000037783.6	0.0342	0.152
ENSMUSG00000034083	ENSMUSG00000034083.16	ENSMUST00000136090	ENSMUST00000136090.7	0.0342	0.152
ENSMUSG00000034083	ENSMUSG00000034083.16	ENSMUST00000149546	ENSMUST00000149546.1	0.0342	0.152
ENSMUSG00000034083	ENSMUSG00000034083.16	ENSMUST00000139240	ENSMUST00000139240.1	0.0342	0.152
ENSMUSG00000034083	ENSMUSG00000034083.16	ENSMUST00000147188	ENSMUST00000147188.1	0.0342	0.152
ENSMUSG00000034083	ENSMUSG00000034083.16	ENSMUST00000151378	ENSMUST00000151378.1	0.0342	0.152
ENSMUSG00000101067	ENSMUSG00000101067.1	ENSMUST00000190633	ENSMUST00000190633.1		
ENSMUSG00000117965	ENSMUSG00000117965.1	ENSMUST00000235907	ENSMUST00000235907.1		
ENSMUSG00000067787	ENSMUSG00000067787.10	ENSMUST00000109528	ENSMUST00000109528.8	0	0
ENSMUSG00000067787	ENSMUSG00000067787.10	ENSMUST00000088494	ENSMUST00000088494.2	0	0
ENSMUSG00000067787	ENSMUSG00000067787.10	ENSMUST00000173378	ENSMUST00000173378.7	0	0
ENSMUSG00000067787	ENSMUSG00000067787.10	ENSMUST00000134239	ENSMUST00000134239.1	0	0
ENSMUSG00000067787	ENSMUSG00000067787.10	ENSMUST00000131902	ENSMUST00000131902.1	0	0
ENSMUSG00000067787	ENSMUSG00000067787.10	ENSMUST00000174336	ENSMUST00000174336.1	0	0
ENSMUSG00000036144	ENSMUSG00000036144.6	ENSMUST00000041183	ENSMUST00000041183.6	0.003	0.1542
ENSMUSG00000106243	ENSMUSG00000106243.1	ENSMUST00000197164	ENSMUST00000197164.1		
ENSMUSG00000050860	ENSMUSG00000050860.6	ENSMUST00000150134	ENSMUST00000150134.1	0	0
ENSMUSG00000050860	ENSMUSG00000050860.6	ENSMUST00000054173	ENSMUST00000054173.3	0	0
ENSMUSG00000050860	ENSMUSG00000050860.6	ENSMUST00000176538	ENSMUST00000176538.1	0	0
ENSMUSG00000042446	ENSMUSG00000042446.16	ENSMUST00000106108	ENSMUST00000106108.8	0.0105	0.1675
ENSMUSG00000042446	ENSMUSG00000042446.16	ENSMUST00000135003	ENSMUST00000135003.1	0.0105	0.1675
ENSMUSG00000042446	ENSMUSG00000042446.16	ENSMUST00000123597	ENSMUST00000123597.1	0.0105	0.1675
ENSMUSG00000042446	ENSMUSG00000042446.16	ENSMUST00000154821	ENSMUST00000154821.1	0.0105	0.1675
ENSMUSG00000042446	ENSMUSG00000042446.16	ENSMUST00000129028	ENSMUST00000129028.1	0.0105	0.1675
ENSMUSG00000042446	ENSMUSG00000042446.16	ENSMUST00000151026	ENSMUST00000151026.1	0.0105	0.1675
ENSMUSG00000042446	ENSMUSG00000042446.16	ENSMUST00000152489	ENSMUST00000152489.1	0.0105	0.1675
ENSMUSG00000042446	ENSMUSG00000042446.16	ENSMUST00000152952	ENSMUST00000152952.7	0.0105	0.1675
ENSMUSG00000042446	ENSMUSG00000042446.16	ENSMUST00000150467	ENSMUST00000150467.1	0.0105	0.1675
ENSMUSG00000025469	ENSMUSG00000025469.10	ENSMUST00000055353	ENSMUST00000055353.8	0.0157	0.2482
ENSMUSG00000025469	ENSMUSG00000025469.10	ENSMUST00000172775	ENSMUST00000172775.3	0.0157	0.2482
ENSMUSG00000021534	ENSMUSG00000021534.8	ENSMUST00000022007	ENSMUST00000022007.7	0.0895	0.2712
ENSMUSG00000021534	ENSMUSG00000021534.8	ENSMUST00000222604	ENSMUST00000222604.1	0.0895	0.2712
ENSMUSG00000091060	ENSMUSG00000091060.2	ENSMUST00000193257	ENSMUST00000193257.1		
ENSMUSG00000091060	ENSMUSG00000091060.2	ENSMUST00000193898	ENSMUST00000193898.1		
ENSMUSG00000091060	ENSMUSG00000091060.2	ENSMUST00000169439	ENSMUST00000169439.2		
ENSMUSG00000043263	ENSMUSG00000043263.13	ENSMUST00000056071	ENSMUST00000056071.12		
ENSMUSG00000043263	ENSMUSG00000043263.13	ENSMUST00000193727	ENSMUST00000193727.1		
ENSMUSG00000101409	ENSMUSG00000101409.1	ENSMUST00000186973	ENSMUST00000186973.1		
ENSMUSG00000020482	ENSMUSG00000020482.4	ENSMUST00000020776	ENSMUST00000020776.4	0.0469	0.1351
ENSMUSG00000113764	ENSMUSG00000113764.1	ENSMUST00000222665	ENSMUST00000222665.1		
ENSMUSG00000099811	ENSMUSG00000099811.6	ENSMUST00000191318	ENSMUST00000191318.6		
ENSMUSG00000099811	ENSMUSG00000099811.6	ENSMUST00000189864	ENSMUST00000189864.1		
ENSMUSG00000059278	ENSMUSG00000059278.9	ENSMUST00000142126	ENSMUST00000142126.1	0.0037	0.1162
